file_name,ipa
sin_01_00001,kumbura goviyāṭa vī labā gænīmaṭa upakārī vīm vaśayen pihiṭa vannaki.
sin_01_00002,ehet goviyā vī labā ganuyē ohugē mahat vū vīryyayeni.
sin_01_00003,goviyā gē prayōjanaya piṇisa alpa vyāyāmayakudu kumbura no karannē ya.
sin_01_00004,"ehet kumbura nætiva kotek utsāha kaḷat goviyāṭa vī no læbiya hæki bævin, kumbura vī labā gænīmaṭa goviyāṭa pihiṭa vannak sæṭiyaṭa sæmadena ma piḷiganiti."
sin_01_00005,manuşyayan visin kumbura vaṭinā deyak lesa piḷigannē da ē nisā ma ya.
sin_01_00006,"vyāyāmayak næti bævin kumbura manuşyayanṭa pihiṭak næti deyak nam, manuşyayō eya vaṭinā vastuvak lesa no piḷiganiti."
sin_01_00007,"sakala pāpamalāpagamayen supariśuddha vū da, arhat sarvagnatvādī aparimita guṇa sārayen sāravat vū da, santāna æti tathāgatayan vahansē pin namæti uttama vastuva lā dīmen sattvayanaṭa pihiṭa vannā vū kumbureki."
sin_01_00008,un vahansē kerehi sita pahadavā gænīm mātraya pavā noyek vara dev minis sæpa læbīmaṭa hētu vana kuśalayeki.
sin_01_00009,pūjā satkāra kirīmen læbiya hæki kuśalaya gæna kiyanuma kima? eya siyalu duk duru kara gænīmaṭat siyalu sampat læbīmaṭat hētu vana kuśalayeki.
sin_01_00010,"ē mahat vū kuśalaya tamāgē ma utsāhayen labā gannak vana namut budun vahansē ē saṉdahā karana vyāyāmayak næti namut, tathāgatayan vahansē lova pahaḷa no vī nam sattvayanaṭa ē kuśalaya labā gata nohena bævin goviyāṭa kumbura pihiṭa vannāk men tathāgatayan vahansē sattvayanaṭa pihiṭa vana bava data yutu ya."
sin_01_00011,apa śrī siddhārtha gautama sākyamunīndrayan vahansēṭa mīṭa caturasaṁkhya kalpa lakşayakaṭa pera ma nivan læbiya hæki va tibuṇē ya.
sin_01_00012,un vahansē edā læbiya hæki va tibū nivana sattvānukampāven hæra sasaraṭa pivisa sārāsaṁkhya kalpa lakşayak vū atidīrgha kālaya muḷullehi mahā vyāyāmayak kaḷa sēka.
sin_01_00013,eya karana laduyē sattvayanaṭa pihiṭa vanu piṇisa ma ya.
sin_01_00014,dæn apaṭa pihiṭa vannā vū apagē māpiyādi kisivek apaṭa dukak pæmiṇi kala in apa mudavā ganu piṇisa taman gē śarīravalin lē kaḷaṉdakudu mas kaḷaṉdakudu viyadam no karannāha.
sin_01_00015,"ehet budun vahansē apaṭa pihiṭavanu piṇisa buddhatvaya patā dhanaya da, ambudaruvan da, taman vahansēgē æs is lē mas da jīvitaya da siyadahas gaṇan jātivaladī parityāga kaḷa sēka."
sin_01_00016,e bævin mahā kāruṇika vū tathāgatayan vahansē apaṭa pihiṭa vanu piṇisa kaḷa kriyā rāśiya da itā mahat bava data yutu ya.
sin_01_00017,eya metekæyi pramāṇa karannaṭa da nupuḷuvana.
sin_01_00018,dharmaratnaya sattvayanaṭa pihiṭa vana ākāraya mesē ya.
sin_01_00019,"lōkōttara dharma navaya aturen sōvān mārgaya, eya labā gat tænættā satara apāyen hā jāti satakin mattehi ohuṭa læbennaṭa tibena saṁsāra duḥkhayen da etara koṭa nivanaṭa pamuṇuvayi."
sin_01_00020,"sōvān mārgayaṭa pæmiṇi āryya śrāvakayā haṭa ehi ānubhāvayen næti vū duḥkhaskandhaya maha poḷovē pas samūhaya men da, ohuṭa itiri duḥkhaya kenaku visin mahapoḷoven niya piṭaṭa gat pas svalpaya men da data yutu ya."
sin_01_00021,sakṛdāgāmī mārgaya ek varakin matu kāma lōkayē ipada labannaṭa vana duḥkha skandhayen ē mārgaya læbū pudgalayā etara koṭa nivanaṭa pamuṇuvayi.
sin_01_00022,"anāgāmi mārgaya, matu kāmalōkayē ipida læbiya hæki duḥkhaskandhayen eyaṭa pæmiṇi pudgalayā etara koṭa nivanaṭa pamuṇuvayi."
sin_01_00023,"arhat mārgaya, mē bhavayen matu ipadīmen læbiya hæki duḥkhaskandhayen eyaṭa pæmiṇi pudgalayā etara koṭa nivanaṭa pamuṇuvayi."
sin_01_00024,nirvāṇa dharmaya vanāhi sakala sāṁsārikāpāyika duḥkhaskandhaya nivīm vaśayen ē ē mārga phalayanṭa pæmiṇiyavunṭa pihiṭa vē.
sin_01_00025,duk næti kara gænīmaṭa ættā vū usas ma pihiṭa ē nivana ya.
sin_01_00026,paryyāpti saṁkhyāta piṭakatraya dharmaya vanāhi siyalu duk næti kara gænīmē hā siyalu sampat labā gænīmē da mārgaya dækvīm vaśayen sattvayanṭa pihiṭa vē.
sin_01_00027,"maranu saṉdahā gæsīm, kæpīm, ænīm ādi siyatin ma karannā vū vyāyāma svāhastika prayōga nam vē."
sin_01_00028,siyatin no marā anekaku lavā karavīma āgnā prayōga nam vē.
